stock_code,start_date,sw_level_1,sw_level_2,sw_level_3
000151,2007-07-02,综合,综合Ⅱ,综合Ⅲ
000151,2010-10-08,商贸零售,贸易Ⅱ,贸易Ⅲ
000153,2000-09-18,医药生物,化学制药,化学制剂
000155,2000-09-26,基础化工,,
000155,2017-06-29,商贸零售,贸易Ⅱ,贸易Ⅲ
000155,2019-07-24,公用事业,,
000155,2021-07-30,公用事业,电力,风力发电
000156,2000-09-06,基础化工,塑料,其他塑料制品
000156,2011-10-10,,,
000156,2014-01-01,传媒,,
000156,2021-07-30,传媒,电视广播Ⅱ,电视广播Ⅲ
000157,2000-10-12,,,
000157,2014-01-01,机械设备,,
000157,2021-07-30,机械设备,工程机械,工程机械整机
000158,2000-07-24,纺织服饰,纺织制造,棉纺
000158,2017-06-29,计算机,,
000158,2021-07-30,计算机,IT服务Ⅱ,IT服务Ⅲ
000159,2000-09-26,医药生物,化学制药,原料药
000159,2007-07-02,,,
000159,2011-01-10,,,
000159,2018-06-19,基础化工,,
000159,2021-07-30,石油石化,炼化及贸易,油品石化贸易
000159,2022-07-29,建筑装饰,专业工程,钢结构
000166,2015-01-18,非银金融,证券Ⅱ,证券Ⅲ
000301,2000-04-24,纺织服饰,,
000301,2009-10-09,商贸零售,,
000301,2014-01-01,商贸零售,,
000301,2018-05-30,公用事业,电力,热力服务
000301,2019-07-24,基础化工,化学纤维,涤纶
000301,2021-07-30,石油石化,炼化及贸易,炼油化工
000333,2013-01-18,家用电器,白色家电,空调
000338,2007-04-30,,,
000338,2014-01-01,汽车,,
000338,2021-07-30,汽车,汽车零部件,底盘与发动机系统
000400,1997-04-09,,,
000400,2011-10-10,,,
000400,2014-01-01,电力设备,,
000400,2021-07-30,电力设备,电网设备,电网自动化设备
000401,1996-06-14,,,
000401,2014-01-01,建筑材料,水泥,水泥制造
000402,1996-06-06,轻工制造,,
000402,2000-09-01,房地产,,
000402,2008-01-02,房地产,房地产开发,住宅开发
000402,2021-07-30,房地产,房地产开发,商业地产
000403,1996-06-28,医药生物,,
000403,2021-07-30,医药生物,生物制品,血液制品
000404,1996-06-19,家用电器,,
000404,2011-01-10,家用电器,,
000404,2021-07-30,家用电器,家电零部件Ⅱ,家电零部件Ⅲ
000405,1996-06-20,有色金属,,
000406,1996-06-28,,,
000407,1996-07-03,基础化工,塑料,其他塑料制品
000407,2014-01-01,基础化工,,
000407,2017-12-15,公用事业,燃气Ⅱ,燃气Ⅲ
000408,1996-06-28,,,
000408,2007-07-02,商贸零售,,
000408,2012-01-02,商贸零售,贸易Ⅱ,贸易Ⅲ
000408,2018-07-13,基础化工,,
000408,2021-07-30,基础化工,农化制品,钾肥
000408,2023-07-06,有色金属,,
000409,1996-06-12,,,
000409,2002-05-01,,,
000409,2007-07-02,综合,综合Ⅱ,综合Ⅲ
000409,2013-01-01,,,
000409,2017-06-29,综合,综合Ⅱ,综合Ⅲ
000409,2022-07-29,计算机,IT服务Ⅱ,IT服务Ⅲ
000410,1996-07-18,,,
000410,2014-01-01,机械设备,通用设备,机床工具
000411,1996-06-26,纺织服饰,纺织制造,印染
000411,2002-05-01,医药生物,,
000411,2010-10-08,商贸零售,贸易Ⅱ,贸易Ⅲ
000411,2011-01-10,医药生物,,
000411,2021-07-30,医药生物,医药商业,医药流通
000412,1996-07-15,综合,综合Ⅱ,综合Ⅲ
000413,1996-09-25,电子,光学光电子,面板
000415,1996-06-23,,,
000415,2002-09-01,,,
000415,2011-10-10,,,
000415,2014-01-01,非银金融,,
000415,2021-07-30,非银金融,多元金融,租赁
000416,1996-06-24,商贸零售,,
000416,2002-05-01,医药生物,,
000416,2010-10-08,商贸零售,,
000416,2014-01-01,商贸零售,一般零售,多业态零售
